Modeltype,,,gcn,gcn,gcn,gcn,gat,gat,gat,gat
Entropy Buckets,,,low,mid,high,mean,low,mid,high,mean
Methods,Dataset,Compression ratio,,,,,,,,
one_step,cora,0.125,9.333333333333334,12.333333333333334,29.333333333333332,3.806580056746801,0.6666666666666666,2.6666666666666665,47.666666666666664,6.742617805798848
one_step,cora,0.25,61.666666666666664,30.333333333333332,13.0,1.7538889696200688,0.3333333333333333,5.333333333333333,99.33333333333333,6.093915104866028
one_step,cora,0.5,92.0,75.0,43.0,2.129175374905268,1.0,0.6666666666666666,208.33333333333334,6.5193385283152265
one_step,citeseer,0.125,8.333333333333334,28.0,8.666666666666666,4.7363384167353315,1.3333333333333333,4.333333333333333,39.333333333333336,7.175710995992024
one_step,citeseer,0.25,83.33333333333333,6.666666666666667,0.0,2.411532203356425,1.6666666666666667,23.666666666666668,64.66666666666667,6.8997875054677325
one_step,citeseer,0.5,163.33333333333334,16.666666666666668,0.0,1.9344530006249745,0.6666666666666666,12.0,167.33333333333334,7.13754399617513
gcond,cora,0.125,0.0,0.0,51.0,6.812993884086609,0.0,0.0,51.0,7.471946716308594
gcond,cora,0.25,0.0,0.6666666666666666,104.33333333333333,6.758482138315837,0.0,0.0,105.0,7.838437398274739
gcond,cora,0.5,0.0,8.0,202.0,6.310214241345723,0.0,0.0,210.0,7.915265639623006
gcond,citeseer,0.125,0.0,0.0,45.0,7.519919395446777,0.0,0.0,45.0,7.661267916361491
gcond,citeseer,0.25,0.0,0.0,90.0,7.466371377309163,0.0,0.0,90.0,7.689778407414754
gcond,citeseer,0.5,0.0,0.0,180.0,7.416150728861491,0.0,0.0,180.0,7.703215837478638
sfgc,cora,0.125,0.0,0.0,51.0,7.863771279652913,0.0,0.0,51.0,8.200578769048056
sfgc,cora,0.25,0.0,0.0,105.0,7.895489772160848,0.0,0.0,105.0,8.211058457692465
sfgc,cora,0.5,0.0,0.0,210.0,8.115742683410645,0.0,0.0,210.0,8.283334891001383
sfgc,citeseer,0.125,0.0,0.0,45.0,7.670262813568115,0.0,0.0,45.0,7.73040493329366
sfgc,citeseer,0.25,0.0,0.0,90.0,7.734546422958374,0.0,0.0,90.0,7.7483547528584795
sfgc,citeseer,0.5,0.0,0.0,180.0,7.654159943262736,0.0,0.0,180.0,7.725993951161702
sgdd,cora,0.125,0.0,0.0,85.0,13.571273883183798,0.0,0.0,85.0,13.882878383000692
sgdd,cora,0.25,0.0,0.0,175.0,13.120820760726929,0.0,0.0,175.0,13.843279282251993
sgdd,cora,0.5,0.0,0.0,350.0,12.895415465037027,0.0,0.0,350.0,13.862595558166504
sgdd,citeseer,0.125,0.0,0.0,75.0,12.833383083343506,0.0,0.0,75.0,12.904016812642416
sgdd,citeseer,0.25,0.0,0.0,150.0,12.774263858795166,0.0,0.0,150.0,12.903362512588501
sgdd,citeseer,0.5,0.0,0.0,300.0,12.736536026000977,0.0,0.0,300.0,12.901754776636759
