Modeltype,,,gcn,gcn,gcn,gcn,gat,gat,gat,gat
Entropy Buckets,,,low,mid,high,mean,low,mid,high,mean
Methods,Dataset,Compression ratio,,,,,,,,
one_step,cora,0.125,9,11,31,5.060533285140991,0,3,48,7.3626508712768555
one_step,cora,0.25,58,32,15,2.862254321575165,0,4,101,6.942240476608276
one_step,cora,0.5,97,78,35,3.082512676715851,1,0,209,7.234624147415161
one_step,citeseer,0.125,11,26,8,4.164186596870422,2,6,37,6.636969089508057
one_step,citeseer,0.25,86,4,0,1.8440554738044739,4,32,54,6.096959114074707
one_step,citeseer,0.5,168,12,0,1.4737857580184937,1,16,163,6.58221435546875
gcond,cora,0.125,0,0,51,7.3884172439575195,0,0,51,7.868233919143677
gcond,cora,0.25,0,0,105,7.336918115615845,0,0,105,8.067769289016724
gcond,cora,0.5,0,5,205,7.037793874740601,0,0,210,8.126020431518555
gcond,citeseer,0.125,0,0,45,7.469722032546997,0,0,45,7.581070184707642
gcond,citeseer,0.25,0,0,90,7.401560544967651,0,0,90,7.633016347885132
gcond,citeseer,0.5,0,0,180,7.321083307266235,0,0,180,7.658379793167114
sfgc,cora,0.125,0,0,51,8.097847938537598,0,0,51,8.272390842437744
sfgc,cora,0.25,0,0,105,8.107550859451294,0,0,105,8.277574300765991
sfgc,cora,0.5,0,0,210,8.234144926071167,0,0,210,8.331934452056885
sfgc,citeseer,0.125,0,0,45,7.652433395385742,0,0,45,7.7104949951171875
sfgc,citeseer,0.25,0,0,90,7.731613874435425,0,0,90,7.744157552719116
sfgc,citeseer,0.5,0,0,180,7.633157730102539,0,0,180,7.702632427215576
sgdd,cora,0.125,0,0,85,13.746833801269531,0,0,85,13.942142248153687
sgdd,cora,0.25,0,0,175,13.47267460823059,0,0,175,13.909837007522583
sgdd,cora,0.5,0,0,350,13.331068515777588,0,0,350,13.92723822593689
sgdd,citeseer,0.125,0,0,75,12.811564683914185,0,0,75,12.887069463729858
sgdd,citeseer,0.25,0,0,150,12.740038871765137,0,0,150,12.88775897026062
sgdd,citeseer,0.5,0,0,300,12.703135251998901,0,0,300,12.88481593132019
